case,hh_size,n_adult,n_child,age,disp_income_week,eq_scale,sex_code,emp_code,eth_code,mar_code,tenure_code,educ_code,region_code,lone_parent,sex_cat,emp_cat,eth_cat,mar_cat,tenure_cat,educ_cat,region_cat
1347,3.0,3.0,0.0,52.0,1423.14,2.0,1.0,2.0,1.0,1.0,5.0,5.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,Eastern
1348,4.0,2.0,2.0,40.0,1203.23,2.1,1.0,2.0,1.0,1.0,5.0,1.0,7.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,London
1349,4.0,2.0,2.0,45.0,601.56,2.1,1.0,2.0,1.0,1.0,5.0,,11.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,,Scotland
1350,4.0,2.0,2.0,37.0,1253.0,2.1,1.0,2.0,1.0,1.0,5.0,1.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South West
1351,2.0,2.0,0.0,80.0,434.834,1.5,1.0,6.0,1.0,1.0,1.0,,4.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,LA (furnished unfurnished),,East Midlands
1352,2.0,2.0,0.0,71.0,402.744,1.5,1.0,6.0,1.0,1.0,7.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South East
1353,3.0,3.0,0.0,52.0,808.96,2.0,2.0,2.0,1.0,1.0,7.0,2.0,4.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,East Midlands
1354,2.0,2.0,0.0,73.0,452.794,1.5,1.0,6.0,1.0,1.0,7.0,,4.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,East Midlands
1355,3.0,3.0,0.0,53.0,1630.56,2.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,North East
1356,2.0,2.0,0.0,65.0,807.46,1.5,1.0,6.0,1.0,1.0,7.0,,11.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Scotland
1357,4.0,2.0,2.0,50.0,790.02,2.3,1.0,2.0,1.0,1.0,5.0,1.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Eastern
1358,1.0,1.0,0.0,72.0,151.23,1.0,2.0,6.0,1.0,6.0,1.0,,5.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Divorced,LA (furnished unfurnished),,West Midlands
1359,1.0,1.0,0.0,68.0,179.33,1.0,1.0,6.0,1.0,4.0,1.0,,5.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Single,LA (furnished unfurnished),,West Midlands
1360,2.0,2.0,0.0,71.0,426.544,1.5,1.0,6.0,1.0,1.0,7.0,,3.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Yorkshire and the Humber
1361,5.0,2.0,3.0,48.0,1214.9636,2.6,1.0,2.0,1.0,1.0,5.0,5.0,11.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,Scotland
1362,3.0,3.0,0.0,47.0,1245.44,2.0,1.0,2.0,1.0,1.0,5.0,3.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,A-Levels/Highers,South East
1363,3.0,3.0,0.0,51.0,920.12,1.5,1.0,2.0,1.0,1.0,7.0,1.0,3.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Yorkshire and the Humber
1364,2.0,2.0,0.0,63.0,652.91,1.5,2.0,3.0,3.0,6.0,5.0,2.0,7.0,2.0,Female,Part-time employee,Asian or Asian British,Divorced,Owned with mortgage,Higher education qualification below degree level,London
1365,2.0,2.0,0.0,33.0,1630.56,1.5,1.0,2.0,1.0,3.0,5.0,1.0,7.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,Degree or equivalent,London
1366,3.0,2.0,1.0,39.0,766.42,1.8,1.0,1.0,1.0,3.0,5.0,6.0,1.0,2.0,Male,Self-employed,White,Cohabitee,Owned with mortgage,GCSE D-G,North East
1367,1.0,1.0,0.0,33.0,364.81,1.0,2.0,2.0,1.0,4.0,5.0,1.0,4.0,2.0,Female,Full-time employee,White,Single,Owned with mortgage,Degree or equivalent,East Midlands
1368,2.0,2.0,0.0,64.0,636.522,1.5,2.0,2.0,1.0,1.0,7.0,7.0,12.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",Northern Ireland
1369,2.0,2.0,0.0,59.0,400.92,1.5,2.0,7.0,1.0,1.0,7.0,,10.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Wales
1370,2.0,2.0,0.0,48.0,709.33,1.5,2.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,Female,Full-time employee,White,Cohabitee,Priv. rented (unfurn),Degree or equivalent,East Midlands
1371,2.0,1.0,1.0,51.0,576.88,1.3,1.0,3.0,1.0,6.0,7.0,7.0,9.0,1.0,Male,Part-time employee,White,Divorced,Owned outright,"Other, including foreign qualification below degree level",South West
1372,2.0,2.0,0.0,56.0,589.28,1.5,1.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),GCSE D-G,North West and Merseyside
1373,2.0,2.0,0.0,58.0,1130.8364,1.5,2.0,2.0,1.0,1.0,7.0,1.0,9.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,South West
1374,3.0,3.0,0.0,63.0,629.412,2.0,2.0,6.0,1.0,5.0,7.0,,3.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,Yorkshire and the Humber
1375,2.0,2.0,0.0,63.0,588.2,1.5,2.0,2.0,1.0,1.0,5.0,2.0,7.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,London
1376,1.0,1.0,0.0,52.0,461.85,1.0,2.0,4.0,1.0,4.0,5.0,5.0,8.0,2.0,Female,Unemployed,White,Single,Owned with mortgage,O-Level or GCSE A-C,South East
1377,1.0,1.0,0.0,38.0,564.36,1.0,2.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,Female,Full-time employee,White,Single,Owned with mortgage,Degree or equivalent,Yorkshire and the Humber
1378,3.0,2.0,1.0,34.0,685.77,1.8,1.0,1.0,3.0,1.0,3.0,1.0,5.0,2.0,Male,Self-employed,Asian or Asian British,Married and living with your husband/wife,Priv. rented (unfurn),Degree or equivalent,West Midlands
1379,4.0,1.0,3.0,41.0,276.15,2.1,2.0,3.0,1.0,7.0,3.0,4.0,12.0,1.0,Female,Part-time employee,White,Separated,Priv. rented (unfurn),ONC National level/BTEC,Northern Ireland
1380,2.0,2.0,0.0,57.0,534.82,1.5,1.0,2.0,1.0,1.0,7.0,7.0,11.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",Scotland
1381,4.0,3.0,1.0,37.0,518.45,2.5,2.0,3.0,1.0,3.0,3.0,5.0,2.0,2.0,Female,Part-time employee,White,Cohabitee,Priv. rented (unfurn),O-Level or GCSE A-C,North West and Merseyside
1382,2.0,2.0,0.0,80.0,392.242,1.5,1.0,6.0,1.0,5.0,7.0,,5.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,West Midlands
1383,2.0,1.0,1.0,44.0,94.17,1.3,2.0,1.0,1.0,6.0,3.0,5.0,8.0,1.0,Female,Self-employed,White,Divorced,Priv. rented (unfurn),O-Level or GCSE A-C,South East
1384,1.0,1.0,0.0,72.0,592.432,1.0,1.0,6.0,1.0,4.0,7.0,,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Single,Owned outright,,London
1385,4.0,4.0,0.0,56.0,628.576,2.5,1.0,7.0,1.0,1.0,2.0,5.0,2.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),O-Level or GCSE A-C,North West and Merseyside
1386,2.0,2.0,0.0,73.0,723.93,1.5,1.0,6.0,1.0,1.0,7.0,,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South West
1387,4.0,2.0,2.0,42.0,835.08,2.3,1.0,1.0,1.0,1.0,5.0,5.0,12.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,Northern Ireland
1388,1.0,1.0,0.0,48.0,340.2636,1.0,2.0,2.0,1.0,6.0,3.0,7.0,3.0,2.0,Female,Full-time employee,White,Divorced,Priv. rented (unfurn),"Other, including foreign qualification below degree level",Yorkshire and the Humber
1389,4.0,4.0,0.0,40.0,1205.87,2.5,1.0,2.0,1.0,1.0,5.0,7.0,1.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",North East
1390,1.0,1.0,0.0,76.0,185.352,1.0,2.0,6.0,1.0,5.0,8.0,,8.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Rent free,,South East
1391,1.0,1.0,0.0,71.0,153.85,1.0,2.0,6.0,1.0,5.0,1.0,,3.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,LA (furnished unfurnished),,Yorkshire and the Humber
1392,1.0,1.0,0.0,58.0,200.0,1.0,2.0,7.0,1.0,6.0,7.0,2.0,11.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Divorced,Owned outright,Higher education qualification below degree level,Scotland
1393,2.0,2.0,0.0,49.0,886.8176,1.5,1.0,2.0,1.0,1.0,5.0,1.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South West
1394,2.0,2.0,0.0,65.0,365.17,1.5,1.0,6.0,1.0,1.0,2.0,5.0,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),O-Level or GCSE A-C,South West
1395,4.0,4.0,0.0,50.0,1630.56,2.5,1.0,2.0,1.0,1.0,5.0,1.0,12.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Northern Ireland
1396,2.0,1.0,1.0,43.0,394.27,1.5,2.0,2.0,1.0,7.0,5.0,7.0,3.0,1.0,Female,Full-time employee,White,Separated,Owned with mortgage,"Other, including foreign qualification below degree level",Yorkshire and the Humber
1397,3.0,2.0,1.0,52.0,489.92,1.8,1.0,2.0,1.0,3.0,3.0,7.0,1.0,2.0,Male,Full-time employee,White,Cohabitee,Priv. rented (unfurn),"Other, including foreign qualification below degree level",North East
1398,4.0,2.0,2.0,44.0,1290.3,2.1,1.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,Higher education qualification below degree level,North East
1399,2.0,2.0,0.0,68.0,586.274,1.5,1.0,6.0,1.0,1.0,7.0,5.0,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,South East
1400,2.0,2.0,0.0,67.0,516.704,1.5,1.0,6.0,1.0,1.0,3.0,7.0,4.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Priv. rented (unfurn),"Other, including foreign qualification below degree level",East Midlands
1401,3.0,2.0,1.0,36.0,568.07,1.8,1.0,1.0,4.0,1.0,3.0,1.0,8.0,2.0,Male,Self-employed,Black or Black British,Married and living with your husband/wife,Priv. rented (unfurn),Degree or equivalent,South East
1402,1.0,1.0,0.0,71.0,196.862,1.0,1.0,6.0,1.0,4.0,1.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Single,LA (furnished unfurnished),,South East
1403,2.0,2.0,0.0,30.0,825.0,1.5,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North East
1404,1.0,1.0,0.0,31.0,639.3768,1.0,1.0,2.0,1.0,4.0,3.0,1.0,8.0,2.0,Male,Full-time employee,White,Single,Priv. rented (unfurn),Degree or equivalent,South East
1405,3.0,3.0,0.0,53.0,1213.4324,2.0,2.0,2.0,2.0,7.0,5.0,1.0,6.0,2.0,Female,Full-time employee,Mixed race,Separated,Owned with mortgage,Degree or equivalent,Eastern
1406,3.0,3.0,0.0,51.0,1160.5,2.0,1.0,2.0,1.0,1.0,5.0,2.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,South East
1407,2.0,2.0,0.0,30.0,890.34,1.5,1.0,2.0,1.0,3.0,5.0,5.0,8.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,O-Level or GCSE A-C,South East
1408,4.0,2.0,2.0,43.0,1022.29,2.1,1.0,2.0,1.0,1.0,5.0,7.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",South West
1409,1.0,1.0,0.0,37.0,583.613,1.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,2.0,Female,Full-time employee,White,Single,Owned with mortgage,Degree or equivalent,North West and Merseyside
1410,1.0,1.0,0.0,66.0,479.572,1.0,2.0,1.0,1.0,6.0,7.0,7.0,8.0,2.0,Female,Self-employed,White,Divorced,Owned outright,"Other, including foreign qualification below degree level",South East
1411,1.0,1.0,0.0,55.0,697.5624,1.0,1.0,2.0,1.0,7.0,5.0,,8.0,2.0,Male,Full-time employee,White,Separated,Owned with mortgage,,South East
1412,3.0,3.0,0.0,47.0,869.1,2.0,2.0,2.0,1.0,3.0,5.0,5.0,4.0,2.0,Female,Full-time employee,White,Cohabitee,Owned with mortgage,O-Level or GCSE A-C,East Midlands
1413,2.0,2.0,0.0,80.0,256.734,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
1414,2.0,2.0,0.0,68.0,356.334,1.5,1.0,6.0,1.0,1.0,7.0,7.0,11.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",Scotland
1415,2.0,2.0,0.0,50.0,557.29,1.5,1.0,2.0,1.0,1.0,7.0,,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,,South East
1416,1.0,1.0,0.0,36.0,923.15,1.0,1.0,4.0,1.0,4.0,3.0,2.0,5.0,2.0,Male,Unemployed,White,Single,Priv. rented (unfurn),Higher education qualification below degree level,West Midlands
1417,2.0,2.0,0.0,45.0,923.25,1.5,2.0,2.0,1.0,1.0,7.0,2.0,4.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,East Midlands
1418,2.0,2.0,0.0,27.0,574.8,1.5,2.0,2.0,1.0,3.0,5.0,7.0,6.0,2.0,Female,Full-time employee,White,Cohabitee,Owned with mortgage,"Other, including foreign qualification below degree level",Eastern
1419,4.0,2.0,2.0,33.0,603.443,2.1,2.0,2.0,1.0,1.0,3.0,5.0,10.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),O-Level or GCSE A-C,Wales
1420,3.0,2.0,1.0,26.0,676.853,1.8,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,Male,Full-time employee,White,Cohabitee,Priv. rented (unfurn),A-Levels/Highers,Yorkshire and the Humber
1421,1.0,1.0,0.0,78.0,305.072,1.0,2.0,6.0,1.0,5.0,7.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,Eastern
1422,2.0,2.0,0.0,48.0,659.25,1.5,2.0,2.0,1.0,3.0,5.0,3.0,5.0,2.0,Female,Full-time employee,White,Cohabitee,Owned with mortgage,A-Levels/Highers,West Midlands
1423,2.0,2.0,0.0,75.0,343.25,1.5,1.0,6.0,1.0,1.0,7.0,,4.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,East Midlands
1424,2.0,2.0,0.0,60.0,738.052,1.5,1.0,2.0,1.0,3.0,7.0,2.0,5.0,2.0,Male,Full-time employee,White,Cohabitee,Owned outright,Higher education qualification below degree level,West Midlands
1425,6.0,4.0,2.0,49.0,363.28,3.3,2.0,7.0,4.0,6.0,2.0,7.0,2.0,1.0,Female,Retired/unoccupied but under minimum NI Pension age,Black or Black British,Divorced,Hsng Assn (furnished unfrnish),"Other, including foreign qualification below degree level",North West and Merseyside
1426,1.0,1.0,0.0,45.0,307.0,1.0,1.0,2.0,1.0,7.0,3.0,6.0,1.0,2.0,Male,Full-time employee,White,Separated,Priv. rented (unfurn),GCSE D-G,North East
1427,2.0,2.0,0.0,80.0,412.864,1.5,1.0,6.0,1.0,1.0,7.0,,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South West
1428,2.0,2.0,0.0,59.0,1033.89,1.5,1.0,2.0,1.0,1.0,7.0,2.0,10.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,Wales
1429,2.0,2.0,0.0,60.0,469.722,1.5,1.0,7.0,1.0,1.0,7.0,,8.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South East
1430,4.0,2.0,2.0,44.0,985.42,2.1,1.0,2.0,1.0,1.0,5.0,1.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Eastern
1431,1.0,1.0,0.0,75.0,128.02,1.0,2.0,6.0,1.0,5.0,1.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,LA (furnished unfurnished),,Eastern
1432,4.0,2.0,2.0,41.0,412.72,2.1,1.0,2.0,3.0,1.0,5.0,,5.0,2.0,Male,Full-time employee,Asian or Asian British,Married and living with your husband/wife,Owned with mortgage,,West Midlands
1433,5.0,2.0,3.0,33.0,412.2,2.4,1.0,2.0,3.0,1.0,3.0,3.0,7.0,2.0,Male,Full-time employee,Asian or Asian British,Married and living with your husband/wife,Priv. rented (unfurn),A-Levels/Highers,London
1434,4.0,4.0,0.0,42.0,862.67,2.5,2.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,A-Levels/Highers,East Midlands
1435,1.0,1.0,0.0,74.0,152.272,1.0,2.0,6.0,1.0,5.0,7.0,,2.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,North West and Merseyside
1436,1.0,1.0,0.0,27.0,554.28,1.0,2.0,2.0,1.0,4.0,5.0,3.0,6.0,2.0,Female,Full-time employee,White,Single,Owned with mortgage,A-Levels/Highers,Eastern
1437,1.0,1.0,0.0,79.0,336.292,1.0,2.0,6.0,1.0,5.0,7.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,Eastern
1438,2.0,2.0,0.0,73.0,743.148,1.5,1.0,3.0,1.0,1.0,7.0,,9.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Owned outright,,South West
1439,5.0,2.0,3.0,35.0,907.22,2.4,1.0,2.0,1.0,1.0,5.0,2.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,Eastern
1440,4.0,2.0,2.0,35.0,918.0,2.1,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North East
1441,1.0,1.0,0.0,27.0,276.94,1.0,2.0,2.0,1.0,4.0,2.0,3.0,10.0,2.0,Female,Full-time employee,White,Single,Hsng Assn (furnished unfrnish),A-Levels/Highers,Wales
1442,2.0,1.0,1.0,31.0,482.11,1.3,1.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,Male,Full-time employee,White,Single,Priv. rented (unfurn),Degree or equivalent,West Midlands
1443,5.0,2.0,3.0,56.0,1149.35,2.4,1.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,West Midlands
1444,2.0,2.0,0.0,28.0,844.56,1.5,2.0,2.0,10.0,1.0,3.0,8.0,7.0,2.0,Female,Full-time employee,Other ethnic group,Married and living with your husband/wife,Priv. rented (unfurn),No formal qualifications,London
1445,4.0,2.0,2.0,28.0,908.28,2.1,1.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,West Midlands
1446,1.0,1.0,0.0,62.0,148.35,1.0,1.0,7.0,1.0,7.0,3.0,7.0,3.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Separated,Priv. rented (unfurn),"Other, including foreign qualification below degree level",Yorkshire and the Humber
1447,1.0,1.0,0.0,66.0,175.332,1.0,2.0,6.0,1.0,5.0,2.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Hsng Assn (furnished unfrnish),,Eastern
1448,2.0,2.0,0.0,68.0,625.264,1.5,1.0,6.0,1.0,1.0,7.0,5.0,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,South East
1449,9.0,4.0,5.0,42.0,507.5,4.199999999999999,1.0,7.0,1.0,1.0,2.0,,6.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),,Eastern
1450,5.0,2.0,3.0,35.0,429.1,2.4,2.0,7.0,3.0,1.0,1.0,,7.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,Asian or Asian British,Married and living with your husband/wife,LA (furnished unfurnished),,London
1451,1.0,1.0,0.0,77.0,765.2,1.0,1.0,6.0,3.0,6.0,7.0,,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,Asian or Asian British,Divorced,Owned outright,,London
1452,2.0,2.0,0.0,28.0,665.2694,1.5,2.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,Female,Full-time employee,Black or Black British,Single,Priv. rented (furnished),Degree or equivalent,Yorkshire and the Humber
1453,4.0,2.0,2.0,42.0,970.16,2.1,1.0,1.0,1.0,1.0,5.0,5.0,9.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,South West
1454,6.0,1.0,5.0,34.0,373.9,2.5,2.0,7.0,1.0,4.0,2.0,,4.0,1.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Single,Hsng Assn (furnished unfrnish),,East Midlands
1455,2.0,2.0,0.0,57.0,794.1796,1.5,2.0,2.0,1.0,1.0,5.0,7.0,2.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",North West and Merseyside
1456,4.0,3.0,1.0,51.0,1225.06,2.5,1.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,West Midlands
1457,2.0,2.0,0.0,34.0,539.99,1.5,2.0,2.0,1.0,1.0,3.0,1.0,7.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),Degree or equivalent,London
1458,1.0,1.0,0.0,51.0,144.65,1.0,1.0,7.0,1.0,7.0,2.0,,6.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Separated,Hsng Assn (furnished unfrnish),,Eastern
1459,3.0,3.0,0.0,47.0,685.02,2.0,1.0,2.0,1.0,1.0,5.0,7.0,10.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",Wales
1460,2.0,2.0,0.0,67.0,1066.74,1.5,1.0,2.0,1.0,3.0,7.0,1.0,6.0,2.0,Male,Full-time employee,White,Cohabitee,Owned outright,Degree or equivalent,Eastern
1461,2.0,2.0,0.0,29.0,1343.7024,1.5,1.0,2.0,1.0,3.0,5.0,1.0,11.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,Degree or equivalent,Scotland
1462,5.0,5.0,0.0,47.0,695.51,3.0,2.0,3.0,1.0,1.0,2.0,4.0,8.0,2.0,Female,Part-time employee,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),ONC National level/BTEC,South East
1463,2.0,2.0,0.0,62.0,996.33,1.5,2.0,2.0,1.0,1.0,7.0,,2.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,,North West and Merseyside
1464,2.0,2.0,0.0,71.0,810.632,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
1465,3.0,3.0,0.0,70.0,1030.48,2.0,1.0,3.0,1.0,1.0,7.0,,10.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Owned outright,,Wales
1466,6.0,2.0,4.0,31.0,561.27,2.7,2.0,3.0,1.0,3.0,5.0,4.0,10.0,2.0,Female,Part-time employee,White,Cohabitee,Owned with mortgage,ONC National level/BTEC,Wales
1467,4.0,3.0,1.0,49.0,314.45,2.3,2.0,4.0,1.0,1.0,2.0,5.0,3.0,2.0,Female,Unemployed,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),O-Level or GCSE A-C,Yorkshire and the Humber
1468,1.0,1.0,0.0,48.0,111.9888,1.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,2.0,Male,Work related Government Training Programmes,White,Single,Priv. rented (furnished),Degree or equivalent,North East
1469,2.0,2.0,0.0,80.0,698.804,1.5,1.0,6.0,1.0,1.0,7.0,,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,North West and Merseyside
1470,3.0,3.0,0.0,61.0,636.63,2.0,1.0,3.0,1.0,1.0,7.0,3.0,4.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Owned outright,A-Levels/Highers,East Midlands
1471,3.0,3.0,0.0,29.0,969.7136,2.0,2.0,2.0,1.0,4.0,4.0,3.0,7.0,2.0,Female,Full-time employee,White,Single,Priv. rented (furnished),A-Levels/Highers,London
1472,1.0,1.0,0.0,58.0,195.13,1.0,2.0,3.0,1.0,5.0,2.0,7.0,9.0,2.0,Female,Part-time employee,White,Widowed,Hsng Assn (furnished unfrnish),"Other, including foreign qualification below degree level",South West
1473,1.0,1.0,0.0,67.0,197.89,1.0,1.0,6.0,1.0,6.0,2.0,,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Divorced,Hsng Assn (furnished unfrnish),,North West and Merseyside
1474,1.0,1.0,0.0,34.0,379.5306,1.0,2.0,2.0,1.0,4.0,7.0,3.0,4.0,2.0,Female,Full-time employee,White,Single,Owned outright,A-Levels/Highers,East Midlands
1475,1.0,1.0,0.0,80.0,259.272,1.0,1.0,6.0,1.0,6.0,7.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Divorced,Owned outright,,South East
